Initiating 1D ANN

1D ANN done, now onto 2D:
2D is done, printing answers:

-2 -2.5 -0.0156713 -7.08438e-05 -0.0153681 -2.96675e-05
-1.9596 -2.44949 -0.0200873 -9.92301e-05 -0.0200138 -4.96079e-05
-1.91919 -2.39899 -0.0246945 -0.000136385 -0.0247725 -7.84402e-05
-1.87879 -2.34848 -0.029152 -0.000183244 -0.0292956 -0.000117897
-1.83838 -2.29798 -0.0330073 -0.000239514 -0.03314 -0.000168643
-1.79798 -2.24747 -0.0357073 -0.000302539 -0.0357777 -0.000229049
-1.75758 -2.19697 -0.0366248 -0.000365666 -0.036615 -0.0002934
-1.71717 -2.14646 -0.0350981 -0.000416016 -0.0350231 -0.000349483
-1.67677 -2.09596 -0.0304832 -0.000431711 -0.0303811 -0.000375601
-1.63636 -2.04545 -0.0222131 -0.000378678 -0.0221282 -0.000337216
-1.59596 -1.99495 -0.00986158 -0.000207445 -0.00982663 -0.000183649
-1.55556 -1.94444 0.00679537 0.000149408 0.00677129 0.000154405
-1.51515 -1.89394 0.0277207 0.000778103 0.027655 0.000765521
-1.47475 -1.84343 0.0525648 0.00178145 0.0524928 0.00175492
-1.43434 -1.79293 0.0806214 0.00327188 0.0805804 0.00323704
-1.39394 -1.74242 0.110797 0.005358 0.110809 0.00532156
-1.35354 -1.69192 0.141598 0.00812322 0.14166 0.00809171
-1.31313 -1.64141 0.171145 0.0115956 0.171229 0.011574
-1.27273 -1.59091 0.197222 0.0157097 0.197291 0.0157004
-1.23232 -1.5404 0.217374 0.0202622 0.217397 0.0202647
-1.19192 -1.4899 0.229046 0.0248671 0.229015 0.0248781
-1.15152 -1.43939 0.229763 0.0289159 0.229698 0.0289309
-1.11111 -1.38889 0.217339 0.031554 0.217276 0.0315683
-1.07071 -1.33838 0.190089 0.0316824 0.190065 0.031693
-1.0303 -1.28788 0.147039 0.0279961 0.147071 0.0280022
-0.989899 -1.23737 0.0880908 0.0190677 0.0881658 0.0190702
-0.949495 -1.18687 0.014159 0.00348049 0.0142399 0.00348125
-0.909091 -1.13636 -0.0727569 -0.0199891 -0.072712 -0.019989
-0.868687 -1.08586 -0.169554 -0.0521514 -0.16957 -0.0521527
-0.828283 -1.03535 -0.272081 -0.0931626 -0.27215 -0.0931674
-0.787879 -0.984848 -0.375268 -0.142291 -0.375354 -0.142301
-0.747475 -0.934343 -0.473345 -0.197723 -0.473402 -0.197739
-0.707071 -0.883838 -0.560149 -0.256456 -0.560143 -0.256473
-0.666667 -0.833333 -0.629501 -0.314295 -0.62943 -0.314307
-0.626263 -0.782828 -0.675632 -0.366015 -0.67553 -0.366016
-0.585859 -0.732323 -0.693631 -0.405675 -0.693546 -0.405662
-0.545455 -0.681818 -0.679846 -0.427095 -0.679821 -0.427073
-0.505051 -0.631313 -0.632239 -0.424466 -0.632283 -0.424445
-0.464646 -0.580808 -0.550624 -0.393034 -0.550712 -0.393025
-0.424242 -0.530303 -0.436806 -0.32978 -0.436889 -0.329791
-0.383838 -0.479798 -0.294588 -0.234012 -0.294622 -0.234039
-0.343434 -0.429293 -0.129658 -0.107781 -0.129626 -0.107809
-0.30303 -0.378788 0.0506558 0.0439682 0.0507365 0.0439549
-0.262626 -0.328283 0.237754 0.213529 0.23784 0.213541
-0.222222 -0.277778 0.422242 0.390898 0.422289 0.39093
-0.181818 -0.227273 0.594496 0.56452 0.594482 0.564555
-0.141414 -0.176768 0.745306 0.722273 0.745215 0.72229
-0.10101 -0.126263 0.86634 0.852578 0.866266 0.852566
-0.0606061 -0.0757576 0.950981 0.945528 0.950937 0.945495
-0.020202 -0.0252525 0.994488 0.993894 0.994497 0.993863
0.020202 0.0252525 0.99444 0.993872 0.994497 0.993863
0.0606061 0.0757576 0.950864 0.945475 0.950937 0.945495
0.10101 0.126263 0.866213 0.852532 0.866266 0.852566
0.141414 0.176768 0.745207 0.722267 0.745215 0.72229
0.181818 0.227273 0.594518 0.56456 0.594482 0.564555
0.222222 0.277778 0.422346 0.390958 0.422289 0.39093
0.262626 0.328283 0.237885 0.213571 0.23784 0.213541
0.30303 0.378788 0.0507447 0.0439646 0.0507365 0.0439549
0.343434 0.429293 -0.129659 -0.107825 -0.129626 -0.107809
0.383838 0.479798 -0.29468 -0.234066 -0.294622 -0.234039
0.424242 0.530303 -0.436943 -0.329806 -0.436889 -0.329791
0.464646 0.580808 -0.550738 -0.393018 -0.550712 -0.393025
0.505051 0.631313 -0.632272 -0.424425 -0.632283 -0.424445
0.545455 0.681818 -0.679782 -0.427059 -0.679821 -0.427073
0.585859 0.732323 -0.693501 -0.405665 -0.693546 -0.405662
0.626263 0.782828 -0.675503 -0.366025 -0.67553 -0.366016
0.666667 0.833333 -0.629436 -0.314319 -0.62943 -0.314307
0.707071 0.883838 -0.560181 -0.256469 -0.560143 -0.256473
0.747475 0.934343 -0.473456 -0.19776 -0.473402 -0.197739
0.787879 0.984848 -0.375404 -0.142249 -0.375354 -0.142301
0.828283 1.03535 -0.272176 -0.0931443 -0.27215 -0.0931674
0.868687 1.08586 -0.169563 -0.0521662 -0.16957 -0.0521527
0.909091 1.13636 -0.0726787 -0.0200224 -0.072712 -0.019989
0.949495 1.18687 0.0142844 0.00345575 0.0142399 0.00348125
0.989899 1.23737 0.0882024 0.0190716 0.0881658 0.0190702
1.0303 1.28788 0.147085 0.0280285 0.147071 0.0280022
1.07071 1.33838 0.190051 0.0317246 0.190065 0.031693
1.11111 1.38889 0.217238 0.0315828 0.217276 0.0315683
1.15152 1.43939 0.22965 0.0289187 0.229698 0.0289309
1.19192 1.4899 0.228975 0.0248477 0.229015 0.0248781
1.23232 1.5404 0.217377 0.0202355 0.217397 0.0202647
1.27273 1.59091 0.197297 0.0156901 0.197291 0.0157004
1.31313 1.64141 0.171259 0.011588 0.171229 0.011574
1.35354 1.69192 0.141701 0.00812135 0.14166 0.00809171
1.39394 1.74242 0.110848 0.0053501 0.110809 0.00532156
1.43434 1.79293 0.0806025 0.00324939 0.0805804 0.00323704
1.47475 1.84343 0.0524895 0.00174526 0.0524928 0.00175492
1.51515 1.89394 0.0276251 0.000739204 0.027655 0.000765521
1.55556 1.94444 0.00672153 0.000124401 0.00677129 0.000154405
1.59596 1.99495 -0.00988331 -0.000203388 -0.00982663 -0.000183649
1.63636 2.04545 -0.0221762 -0.000337953 -0.0221282 -0.000337216
1.67677 2.09596 -0.0304061 -0.000357161 -0.0303811 -0.000375601
1.71717 2.14646 -0.0350162 -0.000319903 -0.0350231 -0.000349483
1.75758 2.19697 -0.0365747 -0.000265591 -0.036615 -0.0002934
1.79798 2.24747 -0.0357122 -0.000215901 -0.0357777 -0.000229049
1.83838 2.29798 -0.033066 -0.000178013 -0.03314 -0.000168643
1.87879 2.34848 -0.0292369 -0.000148424 -0.0292956 -0.000117897
1.91919 2.39899 -0.0247578 -0.000116487 -0.0247725 -7.84402e-05
1.9596 2.44949 -0.0200734 -6.72494e-05 -0.0200138 -4.96079e-05
2 2.5 -0.0155316 1.65227e-05 -0.0153681 -2.96675e-05
