0.1 -15.3 1.04
1.33 0.32 0.594
2.55 2.45 0.983
3.78 2.75 0.998
5.0 2.27 1.11
6.22 1.35 0.398
7.45 0.157 0.535
8.68 -1.23 0.968
9.9 -2.75 0.478



The fit calculated is:
(6.99067 +/- 0.421639)*log(x) + (0.990473 +/- 0.498176)*1.0 + (-1.99641 +/- 0.144291)*x

0.01 -31.222694735285764 -32.66479452832261 -29.78059494224891
0.02 -26.397098947024684 -27.54549798733949 -25.248699906709877
0.03 -23.582592223353974 -24.55858847568936 -22.60659597101859
0.04 -21.59146727312524 -22.444722652054345 -20.73821189419613
0.05 -20.05150951937295 -20.8092359786848 -19.293783060061102
0.06 -18.796924663816167 -19.476334346102192 -18.11751498153014
0.07 -17.739272978702733 -18.35224382273039 -17.126302134675072
0.08 -16.825763827949068 -17.38098972816517 -16.27053792773297
0.09 -16.02234616886873 -16.52646724584802 -15.518225091889438
0.1 -15.305770188558414 -15.764024260493592 -14.847516116623234
0.11 -14.659452741768039 -15.076077421637974 -14.2428280618981
0.12 -14.071149447363268 -14.449643833608972 -13.692655061117563
0.13 -13.531561787328418 -13.874864142309454 -13.188259432347381
0.14 -13.033461876611474 -13.34407451593515 -12.722849237287793
0.15 -12.571119922334255 -12.851199571635386 -12.291040273033122
0.16 -12.139916840219446 -12.391341627067906 -11.888492053370983
0.17 -11.736074518048982 -11.96049469481474 -11.511654341283219
0.18 -11.356463295500742 -11.555340350448741 -11.157586240552739
0.19 -10.998461565405162 -11.173098865700878 -10.823824265109447
0.2 -10.659851429552067 -10.8114185707923 -10.508284288311833
0.21 -10.338739839110584 -10.468292238472902 -10.209187439748264
0.22 -10.033498097123326 -10.14199293763466 -9.92500325661199
0.23 -9.742714819942325 -9.831024157636978 -9.654405482247668
0.24 -9.465158917080194 -9.534080555303639 -9.396237278856745
0.25 -9.199750133246328 -9.250016720214676 -9.149483546277978
0.26 -8.945535371406978 -8.9778220697021 -8.913248673111854
0.27 -8.701669486723128 -8.716600484382457 -8.686738489063796
0.28 -8.46739957505167 -8.465553649025779 -8.469245501077562
0.29 -8.242052019718225 -8.223967318060106 -8.260136721376343
0.3 -8.02502173513609 -7.9911999104239975 -8.058843559848182
0.31 -7.815763174802814 -7.766672975214302 -7.864853374391326
0.32 -7.613782767382918 -7.549863171554498 -7.677702363211337
0.33 -7.4186325170689855 -7.340295482964339 -7.496969551173632
0.34 -7.229904559574089 -7.137537444999313 -7.3222716741488645
0.35 -7.047226507469206 -6.941194209844121 -7.153258805094293
0.36 -6.870257451387489 -6.7509043063313 -6.98961059644368
0.37 -6.6986845092300875 -6.5663359810139 -6.831033037446275
0.38 -6.532219835653547 -6.387184027281414 -6.677255644025679
0.39 -6.370598020075912 -6.213167026427742 -6.528029013724082
