iteration=1	x=-9.92609,	fval=1.09535e+14
iteration=2	x=-9.59956,	fval=6.06852e+13
iteration=3	x=-9.19391,	fval=2.87193e+13
iteration=4	x=-8.82947,	fval=1.44523e+13
iteration=5	x=-8.46028,	fval=7.10087e+12
iteration=6	x=-8.10368,	fval=3.52012e+12
iteration=7	x=-7.75312,	fval=1.73841e+12
iteration=8	x=-7.41108,	fval=8.59446e+11
iteration=9	x=-7.07664,	fval=4.24551e+11
iteration=10	x=-6.75015,	fval=2.09699e+11
iteration=11	x=-6.43149,	fval=1.03535e+11
iteration=12	x=-6.12072,	fval=5.11027e+10
iteration=13	x=-5.81783,	fval=2.52138e+10
iteration=14	x=-5.52284,	fval=1.24356e+10
iteration=15	x=-5.23575,	fval=6.13085e+09
iteration=16	x=-4.95659,	fval=3.02124e+09
iteration=17	x=-4.68536,	fval=1.48816e+09
iteration=18	x=-4.42208,	fval=7.32657e+08
iteration=19	x=-4.16676,	fval=3.60514e+08
iteration=20	x=-3.91942,	fval=1.77296e+08
iteration=21	x=-3.68007,	fval=8.71385e+07
iteration=22	x=-3.44874,	fval=4.27992e+07
iteration=23	x=-3.22544,	fval=2.10064e+07
iteration=24	x=-3.0102,	fval=1.03022e+07
iteration=25	x=-2.80304,	fval=5.0482e+06
iteration=26	x=-2.604,	fval=2.47138e+06
iteration=27	x=-2.41311,	fval=1.20863e+06
iteration=28	x=-2.23039,	fval=590401
iteration=29	x=-2.0559,	fval=288033
iteration=30	x=-1.88968,	fval=140315
iteration=31	x=-1.73179,	fval=68241.1
iteration=32	x=-1.5823,	fval=33124.7
iteration=33	x=-1.44128,	fval=16042.7
iteration=34	x=-1.30885,	fval=7748.82
iteration=35	x=-1.18512,	fval=3730.49
iteration=36	x=-1.07025,	fval=1788.57
iteration=37	x=-0.964454,	fval=852.965
iteration=38	x=-0.868002,	fval=403.855
iteration=39	x=-0.781269,	fval=189.268
iteration=40	x=-0.70477,	fval=87.3422
iteration=41	x=-0.639216,	fval=39.3112
iteration=42	x=-0.585563,	fval=16.936
iteration=43	x=-0.544953,	fval=6.71682
iteration=44	x=-0.51826,	fval=2.25449
iteration=45	x=-0.504775,	fval=0.536019
iteration=46	x=-0.500568,	fval=0.0642644
iteration=47	x=-0.499995,	fval=0.0022349
iteration=48	x=-0.499975,	fval=9.86214e-06
iteration=49	x=-0.499975,	fval=1.51615e-09
Root found
iteration=49	x=-0.499975,	fval=1.51615e-09
